id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
226584511,"06/16/2014 Midland, Michigan",27891.3,1:04:30,Ride,7.207,2014-06-16 23:08:12+00:00,12.5,,150.6,1:08:15,,,,,,Ride
226584509,"06/19/2014 Midland, Michigan",21043.1,0:44:09,Ride,7.944,2014-06-19 21:21:49+00:00,10.5,,163.0,0:44:09,,,,,,Ride
226584514,"06/20/2014 Midland, Michigan",44711.9,1:45:07,Ride,7.089,2014-06-20 21:54:24+00:00,23.4,,140.1,1:48:19,,,,,,Ride
226584534,"07/02/2014 Robbinsville, North Carolina",3368.8,0:38:50,Run,1.446,2014-07-02 15:48:23+00:00,0.0,,136.7,0:39:28,,,,,,Run
226584528,"07/02/2014 Lake Santeetlah, North Carolina",1796.6,0:20:20,Run,1.473,2014-07-02 21:01:56+00:00,0.0,,,0:22:44,,,,,,Run
226584529,"07/03/2014 Lake Santeetlah, North Carolina",3321.4,0:40:28,Run,1.368,2014-07-03 14:44:42+00:00,0.0,,103.2,0:41:51,,,,,,Run
226584565,"07/03/2014 Robbinsville, North Carolina",767.4,0:15:05,Ride,0.848,2014-07-03 17:37:02+00:00,47.3,,,6:18:10,,,,,,Ride
226584573,"07/03/2014 Lake Santeetlah, North Carolina",3505.9,0:41:46,Run,1.399,2014-07-03 23:55:12+00:00,45.6,,,18:56:13,,,,,,Run
226584568,"07/04/2014 Lake Santeetlah, North Carolina",34.6,0:00:47,Ride,0.736,2014-07-04 18:51:25+00:00,0.0,,82.1,0:05:56,,,,,,Ride
226584527,"07/04/2014 Robbinsville, North Carolina",8459.1,0:36:20,Ride,3.88,2014-07-04 19:05:26+00:00,120.3,,114.1,0:43:10,,,,,,Ride
226584537,"07/19/2014 Midland, Michigan",42157.9,1:43:03,Ride,6.818,2014-07-19 21:21:22+00:00,12.7,,163.1,1:46:59,,,,,,Ride
226584538,"07/21/2014 Midland, Michigan",54722.0,2:16:46,Ride,6.669,2014-07-21 22:44:09+00:00,27.7,,163.1,2:33:46,,,,,,Ride
226584532,"07/23/2014 Midland, Michigan",37375.6,1:26:53,Ride,7.17,2014-07-23 23:21:15+00:00,12.6,,154.9,1:31:18,,,,,,Ride
226584530,"07/30/2014 Midland, Michigan",40907.1,1:36:27,Ride,7.069,2014-07-30 21:32:11+00:00,12.6,,156.1,1:50:20,,,,,,Ride
226584531,"07/31/2014 Midland, Michigan",48552.5,1:59:18,Ride,6.783,2014-07-31 21:57:57+00:00,24.1,,159.1,2:21:16,,,,,,Ride
226584546,"08/18/2014 Midland, Michigan",42797.0,1:37:48,Ride,7.293,2014-08-18 22:53:18+00:00,22.9,,167.9,"1 day, 22:29:20",,,,,,Ride
226584543,"08/20/2014 Midland, Michigan",59000.1,2:20:59,Ride,6.975,2014-08-20 21:24:29+00:00,33.4,,151.5,2:52:49,,,,,,Ride
226584540,"08/22/2014 Midland, Michigan",48315.5,1:49:33,Ride,7.351,2014-08-22 22:25:48+00:00,23.0,,161.8,2:02:09,,,,,,Ride
226584547,"08/23/2014 Midland, Michigan",89400.6,3:40:55,Ride,6.745,2014-08-23 12:55:54+00:00,54.8,,152.8,4:52:02,,,,,,Ride
226584542,"08/26/2014 Midland, Michigan",50921.3,2:05:19,Ride,6.772,2014-08-26 21:33:04+00:00,22.8,,144.9,2:13:51,,,,,,Ride
226584523,"08/26/2014 Midland, Michigan",0.0,0:00:02,Ride,0.0,2014-08-27 02:25:48+00:00,0.0,,0.0,0:00:02,,,,,,Ride
226584541,"08/28/2014 Midland, Michigan",52777.9,1:53:24,Ride,7.757,2014-08-28 22:32:55+00:00,24.3,,153.9,1:54:16,,,,,,Ride
226584545,"08/29/2014 Midland, Michigan",56951.7,2:09:28,Ride,7.332,2014-08-29 21:51:50+00:00,23.5,,152.7,2:18:33,,,,,,Ride
226584555,"09/02/2014 Midland, Michigan",52832.5,1:56:04,Ride,7.587,2014-09-02 22:32:08+00:00,23.4,,142.5,1:56:44,,,,,,Ride
226584551,"09/04/2014 Midland, Michigan",36305.7,1:26:53,Ride,6.964,2014-09-04 21:32:08+00:00,13.5,,125.8,1:37:33,,,,,,Ride
226584562,"09/06/2014 Midland, Michigan",97361.9,3:52:28,Ride,6.98,2014-09-06 14:01:57+00:00,67.3,,157.4,4:11:14,,,,,,Ride
